NombreBeca,AnioBecariosConfirmados,Carrera,BecariosNuevos,BecariosContinuadores,TotalBecarios,Modalidad
Beca 18,2020,Educación,119,866,985,Beca 18
Beca 18,2020,Humanidades y Arte,51,184,235,Beca 18
Beca 18,2020,"Ciencias Sociales, Comerciales y Derecho",1223,4261,5484,Beca 18
Beca 18,2020,"Ciencias Naturales, Exactas y de la Computación",147,797,944,Beca 18
Beca 18,2020,"Ingeniería, Industria y Construcción",2593,8533,11126,Beca 18
Beca 18,2020,Agropecuaria y Veterinaria,38,495,533,Beca 18
Beca 18,2020,Ciencias de la Salud,564,923,1487,Beca 18
Beca 18,2020,Servicios,6,46,52,Beca 18
