NombreBeca,AnioBecariosConfirmados,BecariosContinuadores,Modalidad
Beca Complementaria de la Amistad Peruano Ecuatoriana,2020,10,Beca Complementaria de la Amistad Peruano Ecuatoriana
Beca de Permanencia de Estudios Nacional Arte,2020,106,Beca de Permanencia de Estudios Nacional Arte
Beca de Permanencia de Estudios Nacional Para Estudiantes del CNM⁷⁵,2020,1,Beca de Permanencia de Estudios Nacional Para Estudiantes del CNM⁷⁵
Beca Excelencia Académica,2020,85,Beca Excelencia Académica
Beca Excelencia Internacional Francia,2020,162,Beca Excelencia Internacional Francia
Vocación de Maestro,2020,1000,Vocación de Maestro
Total,2020,1364,Total
